id,satisfy,apps,comment
1,1,NA,others_others_comment_others_comment_
2,1,HAD;JASP;S-PLUS;SPSS,comment_others_comment_others_
3,5,NA,others_comment_others_others_
4,2,excel;JMP;S-PLUS,comment_others_comment_others_others_
5,4,NA,others_comment_
6,1,excel;others,comment_comment_comment_comment_others_
7,4,excel;JASP;S-PLUS;SPSS,comment_comment_others_others_
8,4,SAS,comment_comment_others_
9,3,HAD;JASP;JMP;S-PLUS;SPSS,comment_
10,5,excel;HAD;JASP;S-PLUS;STATISTICA,comment_others_
11,2,excel;HAD;JMP;SAS;SPSS,NA
12,3,excel;JASP;JMP;SAS,comment_others_comment_comment_
13,1,excel;HAD;JASP;SAS,others_comment_
14,3,excel;JASP;SAS;SPSS;STATISTICA,others_others_others_others_
15,4,NA,others_others_others_others_
16,1,HAD;others;SAS;STATISTICA,others_comment_comment_comment_
17,3,HAD;JASP;JMP;S-PLUS;SPSS,comment_others_comment_others_comment_
18,3,excel;HAD;JASP;S-PLUS;SPSS,others_comment_
19,2,excel;STATISTICA,others_
20,5,excel;SAS,others_others_
21,4,S-PLUS,comment_others_comment_
22,1,excel;HAD;JASP;SAS;SPSS,others_others_
23,5,excel;HAD;JASP;SPSS,comment_others_comment_comment_
24,3,excel;HAD;SAS;SPSS;STATISTICA,others_others_others_others_
25,3,NA,comment_comment_others_others_
26,2,HAD;JASP;JMP,others_comment_others_others_comment_
27,1,excel;HAD;SAS;SPSS,NA
28,3,excel;others;SAS;SPSS;STATISTICA,others_comment_
29,5,excel;SPSS;STATISTICA,NA
30,3,excel;SPSS,others_others_others_others_
31,4,excel;others;S-PLUS;SAS;STATISTICA,comment_others_others_
32,5,HAD;JASP;JMP;S-PLUS;SAS,NA
33,4,JASP;others;S-PLUS;SPSS;STATISTICA,others_others_
34,1,HAD;S-PLUS;STATISTICA,comment_
35,1,NA,NA
36,5,HAD;SAS;SPSS,others_comment_comment_others_comment_
37,5,SAS;SPSS,others_others_others_others_others_
38,2,excel,comment_others_others_
39,3,S-PLUS;STATISTICA,others_others_others_others_
40,4,excel;SAS,comment_comment_others_others_comment_
41,1,HAD;JMP;others;S-PLUS;STATISTICA,others_others_comment_others_
42,3,HAD;JASP,others_others_comment_
43,1,S-PLUS;STATISTICA,NA
44,4,JASP;S-PLUS;SPSS,comment_others_others_comment_comment_
45,3,NA,comment_others_others_
46,1,JMP;others;STATISTICA,comment_others_comment_
47,2,HAD;SAS;STATISTICA,others_others_others_others_comment_
48,3,excel;S-PLUS;SAS;SPSS,comment_comment_others_
49,3,NA,comment_comment_
50,5,excel;JASP,comment_others_
51,3,HAD;JMP;S-PLUS,comment_comment_comment_
52,1,excel,comment_others_others_
53,4,S-PLUS;SPSS,others_comment_comment_comment_
54,1,excel;HAD;SAS,NA
55,1,excel;JASP;SAS;SPSS;STATISTICA,others_comment_comment_
56,4,excel;SAS,NA
57,3,SPSS;STATISTICA,comment_comment_others_comment_
58,2,NA,comment_
59,1,excel;HAD;JMP;SAS,NA
60,2,NA,NA
61,1,NA,NA
62,2,HAD;SAS;STATISTICA,others_comment_
63,5,excel;SPSS;STATISTICA,others_
64,1,HAD;others;SAS;SPSS,comment_others_others_others_comment_
65,3,JASP,others_others_comment_others_comment_
66,2,JASP;JMP;SAS,NA
67,5,JASP;S-PLUS;SAS,comment_comment_comment_others_comment_
68,2,HAD;S-PLUS;SAS;STATISTICA,comment_others_comment_others_comment_
69,2,excel;others;S-PLUS;SAS;STATISTICA,others_others_comment_
70,4,excel,NA
71,2,HAD;others;SAS;SPSS;STATISTICA,comment_comment_comment_others_
72,3,SPSS,others_
73,1,S-PLUS;STATISTICA,others_
74,3,STATISTICA,NA
75,1,excel;HAD;others;STATISTICA,others_
76,4,excel;JASP;SAS;STATISTICA,comment_others_others_comment_others_
77,3,S-PLUS;SAS;SPSS;STATISTICA,others_others_
78,2,SAS;SPSS,NA
79,3,JMP;others;SPSS,others_comment_comment_comment_comment_
80,4,HAD;SAS,others_others_
81,4,excel,comment_others_others_others_comment_
82,1,HAD,others_comment_others_
83,4,excel;JASP;JMP;SAS;SPSS,comment_comment_comment_
84,2,STATISTICA,others_comment_others_comment_others_
85,1,excel;JMP;S-PLUS;SPSS,others_others_comment_comment_others_
86,5,HAD,NA
87,3,NA,comment_comment_others_comment_
88,3,SAS;SPSS;STATISTICA,NA
89,1,NA,comment_comment_others_
90,2,excel;HAD;SAS;SPSS;STATISTICA,others_comment_others_
91,2,others;SAS,comment_comment_comment_comment_others_
92,1,HAD;JASP;SPSS,others_others_others_
93,4,excel;HAD;S-PLUS;SAS;SPSS,others_others_others_
94,4,JMP,NA
95,3,JASP;S-PLUS;SAS,comment_comment_comment_others_comment_
96,2,HAD;SPSS,comment_comment_
97,4,S-PLUS,others_comment_
98,4,NA,others_
99,2,STATISTICA,NA
100,3,NA,comment_others_
